B0402+61      dth78      J0406+6138    dth78      04:06:30.082     3.0e-03   ywml10     +61:38:41.04     3.0e-02   ywml10     0.5945761650437      8.0e-13   ywml10     65.303     7.0e-03   hlk+04     2.8    2.0e-01   lylg95     *                               *       *          gb1,gb2,gb3,gb4                                  
J0407+1607    lxf+05     J0407+1607    lxf+05     04:07:54.939     3.0e-03   lxf+05     +16:07:16.4      2.0e-01   lxf+05     0.02570173919463     2.0e-14   lxf+05     35.65      2.0e-02   lxf+05     *            0  *          *                               BT      lxf+05     ar4                                              
J0408+551     hrk+08     J0408+551     hrk+08     04:08                  0  hrk+08     +55                    0  hrk+08     1.837                      0  hrk+08     55               0  hrk+08     *            0  *          *                               *       *          gb350                                            
J0408+552     hrk+08     J0408+552     hrk+08     04:08                  0  hrk+08     +55                    0  hrk+08     0.754                      0  hrk+08     64               0  hrk+08     *            0  *          *                               *       *          gb350                                            
J0410-31      bbj+11     J0410-31      bbj+11     04:10:39         3.3e+01   bbj+11     -31:07:29        4.2e+02   bbj+11     1.8785               2.0e-04   bbj+11     9.2        3.0e-01   bbj+11     *            0  *          RRAT                            *       *          htru_pks                                         
J0413+58      hrk+08     J0413+58      hrk+08     04:13                  0  hrk+08     +58                    0  hrk+08     0.687                      0  hrk+08     57               0  hrk+08     *            0  *          *                               *       *          gb350                                            
B0410+69      dtws85     J0415+6954    dtws85     04:15:55.653     3.4e-03   hlk+04     +69:54:09.89     2.5e-02   hlk+04     0.3907150899386      3.0e-13   hlk+04     27.465     4.0e-03   hlk+04     0.5    1.0e-01   lylg95     *                               *       *          gb2,gb4,gbncc                                    
J0417+35      cnst96     J0417+35      cnst96     04:17:43         1.6e+01   cnst96     +35:45           5.0e+00   cnst96     0.65440              3.0e-05   cnst96     51         1.0e+01   cnst96     *            0  *          *                               *       *          ar4                                              
J0417+61      slr+14     J0417+61      slr+14     04:17            3.0e+00   slr+14     +61:08           1.8e+01   slr+14     0.440283             1.3e-05   slr+14     71         2.0e+00   slr+14     *            0  *          *                               *       *          gbncc                                            
J0418+5732    vck+10     J0418+5732    vck+10     04:18:33.867     4.3e-02   vck+10     +57:32:22.91     3.5e-01   vck+10     9.07838827           4.0e-08   ert+11     *                0  *          *            0  *          AXP,NRAD                        *       *          misc                                             
J0419+44      hrk+08     J0419+44      hrk+08     04:19                  0  hrk+08     +44                    0  hrk+08     1.241                      0  hrk+08     71               0  hrk+08     *            0  *          *                               *       *          gb350                                            
J0420-5022    hmz+04     J0420-5022    hmz+04     04:20:01.95      4.0e-02   hmz+04     -50:22:48.1      6.0e-01   hmz+04     3.453004027          1.2e-08   kv11       *                0  *          *            0  *          XINS,NRAD                       *       *          misc                                             
J0421-0345    mld+96     J0421-0345    mld+96     04:21:33.556     1.5e-02   hlk+04     -03:45:06.6      6.0e-01   hlk+04     2.161308494552       1.5e-11   hlk+04     44.61      9.0e-02   hlk+04     0.5          0  lor94      *                               *       *          pks70                                            
J0426+4933    hrk+08     J0426+4933    hrk+08     04:26:06.813     1.0e-03   bck+13     +49:33:38.46     4.0e-02   bck+13     0.922474730055       2.0e-12   bck+13     85               0  hrk+08     0.19   5.0e-02   bck+13     *                               *       *          gb350,htru_eff                                   
J0435+27      rtj+96     J0435+27      rtj+96     04:35:34         2.0e+01   rtj+96     +27:44           5.0e+00   rtj+96     0.3262793            9.0e-07   rtj+96     53         5.0e+00   rtj+96     *            0  *          *                               *       *          ar4                                              
J0437-4715    jlh+93     J0437-4715    jlh+93     04:37:15.883250  3.0e-06   dvtb08     -47:15:09.031863 3.7e-05   dvtb08     0.005757451924362137 9.9e-17   vbv+08     2.64476    7.0e-05   vbv+08     149    3.6e+01   mhb+13     HE[bt93,aaa+09f]                DD      vbv+08     pks70,pkshl                                      
J0448-2749    lml+98     J0448-2749    lml+98     04:48:41.567     5.4e-03   hlk+04     -27:49:46.74     1.1e-01   hlk+04     0.4504483308563      1.7e-12   hlk+04     26.22      4.0e-02   hlk+04     0.7          0  gl98       *                               *       *          pks70,pkshl                                      
J0449-7031    mfl+06     J0449-7031    mfl+06     04:49:05.67      5.0e-02   mfl+06     -70:31:31.7      3.0e-01   mfl+06     0.479163971291       1.4e-11   mfl+06     65.83      7.0e-02   mfl+06     0.14         0  mfl+06     *                               *       *          misc                                             
B0447-12      mlt+78     J0450-1248    mlt+78     04:50:08.781     3.0e-03   hlk+04     -12:48:07.10     9.0e-02   hlk+04     0.4380141493906      8.0e-13   hlk+04     37.041     1.0e-02   hlk+04     0.9    1.0e-01   lylg95     *                               *       *          mol2,pks70                                       
J0451-67      mfl+06     J0451-67      mfl+06     04:51:50         7.0e+01   mfl+06     -67:18           7.0e+00   mfl+06     0.24545429           7.0e-08   mfl+06     45         1.0e+00   mfl+06     0.05   5.0e-02   mfl+06     *                               *       *          misc                                             
B0450-18      vlw69      J0452-1759    vlw69      04:52:34.1057    1.0e-04   cbv+09     -17:59:23.371    2.0e-03   cbv+09     0.548939223294       3.0e-12   hlk+04     39.903     3.0e-03   hlk+04     5.3    8.0e-01   lylg95     *                               *       *          mol1,mol2,pks70                                  
J0453+16      dsm+13     J0453+16      dsm+13     04:53:38         7.0e+00   dsm+13     +16:01:00        1.0e+02   dsm+13     0.0458                     0  dsm+13     30               0  dsm+13     *            0  *          *                               BT      dsm+13     ar327                                            
B0450+55      dth78      J0454+5543    dth78      04:54:07.7506    1.0e-04   cbv+09     +55:43:41.437    2.0e-03   cbv+09     0.340729436235       1.0e-11   hlk+04     14.495     7.0e-03   hlk+04     13     3.0e+00   lylg95     *                               *       *          gb1,gb2,gb4,gbncc                                
B0456-69      mmh+91     J0455-6951    mmh+91     04:55:47.55      8.0e-02   ckm+01     -69:51:34.3      6.0e-01   ckm+01     0.320422711526       1.2e-11   ckm+01     94.89      1.4e-01   ckm+01     *            0  *          *                               *       *          misc                                             
J0456-69      rcl+13     J0456-69      rcl+13     04:56:30               0  rcl+13     -69:10                 0  rcl+13     0.117073051          1.5e-08   rcl+13     103        1.0e+00   rcl+13     *            0  *          *                               *       *          misc                                             
J0456-7031    mfl+06     J0456-7031    mfl+06     04:56:02.5       3.0e-01   mfl+06     -70:31:06.6      1.2e+00   mfl+06     0.80013207321        1.0e-10   mfl+06     100.3      3.0e-01   mfl+06     0.05         0  mfl+06     *                               *       *          misc                                             
